Sr.,Questions:,O1,O2,O3,O4,Correct,Domain
474,"______ operations refer to the basic Insert, Read, Update and Delete operations.",CRUD,SHRUD,Arithematic,EDIT,CRUD,MongoDB
475,"In MongoDB, data is stored as _______.",documents,files,columns,tables,documents,MongoDB
476,"In the ____ directory, MongoDB preallocates data files to a particular size, in part to prevent file system fragmentation.",data,file,table,current,data,MongoDB
477,MongoDB supports ______ storage engines,multiple,single,double,none,multiple,MongoDB
478,________ is the default storage engine starting in MongoDB 3.2.,WiredTiger,In-Memory Storage Engine.,MMAPv1,MMAPv2,WiredTiger,MongoDB
479,MongoDB supports mainly __ storage engines.,3,4,5,2,3,MongoDB
480,________ is MongoDB's original storage engine based on memory mapped files.,MMAPv1,MMAPv2,MMAPv3,MMAPv4,MMAPv1,MongoDB
481,_______ limits the size of the WiredTiger internal cache.,cacheSizeGB,DataSizeGB,SizeGB,RAMSizeGB,cacheSizeGB,MongoDB
482,"_______ uses multi-granularity locking [1] that allows operations to lock at the global, database or collection level, and allows for individual storage engines to implement their own concurrency control below the collection level (e.g., at the document-level in WiredTiger).",MongoDB,Cassandra,RavenDB,Redis,MongoDB,MongoDB
483,"_______ is an in-memory, persistent data structure store that enables developers to perform common operations with minimal complexity and maximum performance.",Redis,Cassandra,CouchDB,MongoDB,Redis,MongoDB
484,_______ is also a clustered database that allows you to run a single logical database server on any number of servers or VMs.,CouchDB,MongoDB,RavenDB,Cassandra,CouchDB,MongoDB
485,_________ is a column-oriented database.,Cassandra,MongoDB,RavenDB,Oracle,Cassandra,MongoDB
486,How many languages are supported by .NET at present time?,60,40,50,28,60,.NET
487,______ allocates a new string.,Substring(),String(),SS(),Str(),Substring(),.NET
488,_______ is a cross-platform web server for ASP.NET Core.,Kestrel,Olivia,Coastal,Costral,Kestrel,.NET
489,_______ is a web server that can act as a reverse proxy for ASP.NET Core applications and which is also very good at serving static content.,Nginx,Kprix,Nprix,Pginx,Nginx,.NET
490,Tracing is introduced in the .NET ____ version,2,1,3,4,2,.NET
491,_______ is an immutable value type that represents signed integers,Int32,Int8,Int16,Int64,Int32,.NET
492,An _____ is a collection of types and resources that are built to work together and form a logical unit of functionality.,assembly,automation,association,addition,assembly,.NET
493,A ______ Type stores its contents in memory allocated on the stack.,Value,Save,Complete,Store,Value,.NET
494,The ________ object holds information that will be used by many pages in the application.,Application,Info,Table,Page,Application,.NET
495,The ______ method allows you to create and execute a task in a single method call and is a simpler alternative to the StartNew method.,Run,Fast,Create,Execute,Run,.NET
496, A ________ is a special collection that is used to store key-value items,hash table,store table,save table,stored table,hash table,.NET
497,An ___________ object is defined as an object that cannot be changed after it has been created.,immutable,mutable,packaged,stored,immutable,.NET
498,A  ______ can store the value on the Server.,Session,Pack,Box,Table,Session,.NET
499,__________ is the process of converting a value type to the type object or to any interface type implemented by this value type.,Boxing,Unboxing,Packing,Unpacking,Boxing,.NET
500,____________ are used by ASP.NET web application server to handle specific requests based on extensions.,HTTPHandlers,VB.NET,.NET Applications,Handlers,HTTPHandlers,.NET
